value,tag,default
"ACCESS::App performance (memory, slowness, etc)",about_app_performance,false
ACCESS::Client Deprecation,about_client_deprecation,false
ACCESS::Client Installation,about_client_installation,false
ACCESS::Connectivity,about_connectivity,false
ACCESS::Crash,about_crash,false
ACCESS::Distributed Installations,about_distributed_installations,false
ADMIN:: Managing Channels,about_managing_channels,false
ADMIN::Admin APIs,platform_api_admin_api,false
ADMIN::Analytics,about_admin_statistics,false
ADMIN::Compliance,about_compliance,false
ADMIN::Custom Profile Fields,about_customprofile,false
ADMIN::Data Exports,about_admin_troubleshooting_exports,false
ADMIN::Data Imports,about_admin_data_imports,false
ADMIN::Data Retention,about_data_retention,false
ADMIN::Discoverable Workspaces,about_enterprise_discoverable_workspaces,false
ADMIN::DLP and eDiscovery API,about_admin_dlp_and_ediscovery,false
ADMIN::Enterprise Key Management (EKM),about_ekm,false
ADMIN::Grid Email Domain Claiming,about_enterprise_domain_claiming,false
ADMIN::Grid Multi-Workspace Channels,about_enterprise_shared_channels,false
ADMIN::Grid Org Management,about_enterprise_org_dashboard,false
ADMIN::Guest Accounts,about_restricted_accounts,false
ADMIN::International Data Residency (IDR),about_int_data_residency,false
ADMIN::Managing Team Members,about_managing_team_members,false
ADMIN::Mobile Security,about_enterprise_mobile_security,false
ADMIN::Moving channels,about_moving_channels,false
ADMIN::RCA Request,about_rca_request,false
ADMIN::Slack Connect,about_shared_channels_cross_team_dms,false
ADMIN::User Groups,about_usergroups,false
ADMIN::Workspace Settings and Permissions,about_team_settings_and_permissions,false
ADMIN::Workspace URL Request,about_domain_request,false
EVALUATORS::Atlas purchase request,about_rimeto,false
EVALUATORS::Compliance & HIPAA,about_compliance_hipaa,false
EVALUATORS::Discounts,about_discount_requests,false
EVALUATORS::Education,about_education_only,false
EVALUATORS::Free plan users,about_free_plan_users,false
EVALUATORS::Nonprofits,about_nonprofits_only,false
EVALUATORS::Plan Advice,about_plan_advice,false
EVALUATORS::Reseller/Partnership,about_reseller_partnership,false
"EVALUATORS::Resources, Training and Advocacy Requests",about_resource_training_request,false
EVALUATORS::Trials,about_trial_requests,false
EVALUATORS::Understanding Costs,about_understanding_costs,false
EVALUATORS::What is Slack?,about_what_is_slack,false
FILES::Audio/Video Clips,about_audio_video_clips,false
FILES::Files,about_files,false
FILES::Posts,about_posts,false
FILES::Snippets,about_snippets,false
IDENTITY::Atlas,about_atlas,false
IDENTITY::Audit Log API,about_platform_api_audit_log_api,false
IDENTITY::Configuring or Switching SSO,about_sso_config,false
IDENTITY::Custom SCIM Attributes,about_scim_attributes,false
IDENTITY::Google Auth,about_google_auth,false
IDENTITY::Profile Syncing & Rebinding,about_syncing,false
IDENTITY::Provisioning Users & Groups,about_provisioning_users,false
IDENTITY::SSO Preferences & Settings,about_sso_prefs,false
IDENTITY::SSO Sign-in,about_sso_login,false
IDENTITY::Workspace Migration,about_enterprise_team_migration,false
LOGIN::2FA,about_2fa,false
LOGIN::Accidental workspace creation,about_accidental_team,false
LOGIN::Credentials,about_credentials,false
LOGIN::Email delivery,about_bouncing,false
"LOGIN::Invitations ",about_invitations,false
LOGIN::Invite limit,invite_limit,false
LOGIN::Joining a workspace,about_joining_a_team,false
LOGIN::Login UI/UX,about_login_ui_ux,false
LOGIN::Workspace Creation,about_workspace_creation,false
MARKETING::Marketing/PR/Ads,about_marketing_pr_ads,false
MARKETING::Slack Certification,about_slack_certification,false
MARKETING::Slack Foundry,about_slacku,false
"MARKETING::Swag ",about_swag,false
OTHER::Miscellaneous,about_miscellaneous,false
OTHER::Not intended for Slack,about_not_intended_for_slack,false
OTHER::Spam or bot-generated ticket,spam,false
OTHER::User solved it before About was selected,about_unspecified,false
PAGE POLICY::Policy (pages Policy team),escalation_policy,false
PAGE POLICY::Possible Data Breach (pages Policy team),escalation_data_breach,false
PLATFORM::API::API - Other,about_api,false
PLATFORM::API::API Message Formatting,about_api_message_formatting,false
PLATFORM::API::API Request Signing,about_platform_api_api_request_signing,false
PLATFORM::API::App Home,platform_api_app_home,false
PLATFORM::API::Block Kit,about_platform_api_block_kit,false
PLATFORM::API::Conversations API,about_platform_api_conversations_api,false
PLATFORM::API::Dialogs,about_platform_api_dialogs,false
PLATFORM::API::Discovery API,about_platform_api_discovery_api,false
PLATFORM::API::Events API,about_platform_api_events_api,false
PLATFORM::API::Files API,about_platform_api_files_api,false
PLATFORM::API::Granular Permissions,platform_api_gran_perm,false
PLATFORM::API::Interactive messages,about_platform_api_interactive_messages,false
PLATFORM::API::Internal Apps,about_platform_api_internal_apps,false
PLATFORM::API::Legacy Custom Integrations,about_custom_integrations,false
PLATFORM::API::Modals,platform_api_modals,false
"PLATFORM::API::OAuth, Tokens & Scopes",about_platform_api_oauth,false
PLATFORM::API::Permissions API,about_platform_api_permissions_api,false
PLATFORM::API::Rate limiting,about_api_rate_limiting,false
PLATFORM::API::Revoked Tokens – Outbound,about_platform_api_revoked_tokens,false
PLATFORM::API::RTM API,about_platform_api_rtm_api,false
PLATFORM::API::Scheduled Messages API,about_platform_api_sched_msgs,false
PLATFORM::API::SCIM API,about_platform_api_scim_api,false
PLATFORM::API::SDK,about_platform_api_sdk,false
PLATFORM::API::Web API,about_platform_api_web_api,false
PLATFORM::API::Webhooks,about_platform_api_webhooks,false
PLATFORM::API::WTA,about_workspace_apps,false
PLATFORM::App Directory::App Directory - Other,about_app_directory,false
PLATFORM::App Directory::App Review,platform__app_review,false
PLATFORM::App Directory::Complaints,about_platform_app_directory_complaints,false
PLATFORM::App Directory::Distribution & Config,about_platform_app_directory_distribution_config,false
PLATFORM::App Management::Actions,platform_app_management_actions,false
PLATFORM::App Management::Admin-approved Apps,about_platform_app_management_admin_approved_apps,false
PLATFORM::App Management::App Configuration,about_platform_app_management_app_configuration,false
PLATFORM::App Management::App Management,about_platform_app_management_app_managemen,false
PLATFORM::App Management::App Management - Other,about_platform_app_management_other,false
PLATFORM::App Management::App Manifests,about_platform_app_management_app_manifests,false
PLATFORM::App Management::App Permissions,about_platform_app_management_app_permissions,false
